"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","FullResourcesCount","DevResourcesCount","QaResourcesCount","PdnResourcesCount","FullAccountsCount","DevAccountsCount","QaAccountsCount","PdnAccountsCount","RedSecurityChecksCount","RedSecurityResourcesCount","YellowSecurityChecksCount","YellowSecurityResourcesCount","RedFaultToleranceChecksCount","RedFaultToleranceResourcesCount","YellowFaultToleranceChecksCount","YellowFaultToleranceResourcesCount","RedPerformanceChecksCount","RedPerformanceResourcesCount","YellowPerformanceChecksCount","YellowPerformanceResourcesCount","RedCostOptimizingChecksCount","RedCostOptimizingResourcesCount","YellowCostOptimizingChecksCount","YellowCostOptimizingResourcesCount","ppn_tm"
"99","1","1","20231012","app00099","308","74","78","156","3","1","1","1","1","6","4","13","1","3","3","5","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"93","1","1","20231012","app00093","82","41","11","30","5","2","1","2","0","0","1","1","0","0","3","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"104","1","1","20231012","app00104","25","8","0","17","2","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"105","1","1","20231012","app00105","161","82","2","77","6","2","1","3","0","0","4","12","0","0","1","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"96","1","1","20231012","app00096","135","135","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"107","1","1","20231012","app00107","1615","687","399","529","6","2","1","3","1","7","5","31","0","0","2","11","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"98","1","1","20231012","app00098","577","277","164","136","8","3","2","3","4","4","4","5","0","0","2","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"102","1","1","20231012","app00102","42","14","12","16","3","1","1","1","1","2","2","6","0","0","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"101","1","1","20231012","app00101","35","13","9","13","4","1","1","2","0","0","2","2","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"103","1","1","20231012","app00103","202","60","61","81","3","1","1","1","2","3","5","6","0","0","1","1","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
